YawRotation,Timestamp
89.444572,2024.10.22-21.08.59
84.581223,2024.10.22-21.08.59
80.564171,2024.10.22-21.08.59
76.984161,2024.10.22-21.08.59
72.164955,2024.10.22-21.08.59
70.084335,2024.10.22-21.08.59
66.766022,2024.10.22-21.08.59
63.498074,2024.10.22-21.08.59
60.326031,2024.10.22-21.08.59
56.826988,2024.10.22-21.08.59
51.966908,2024.10.22-21.08.59
47.417927,2024.10.22-21.09.00
43.612076,2024.10.22-21.09.00
39.718880,2024.10.22-21.09.00
36.155468,2024.10.22-21.09.00
33.254318,2024.10.22-21.09.00
30.051542,2024.10.22-21.09.00
26.362402,2024.10.22-21.09.00
23.457199,2024.10.22-21.09.00
20.869246,2024.10.22-21.09.00
17.839382,2024.10.22-21.09.00
14.222968,2024.10.22-21.09.00
11.525653,2024.10.22-21.09.00
8.685067,2024.10.22-21.09.00
5.784779,2024.10.22-21.09.00
3.443596,2024.10.22-21.09.00
1.523795,2024.10.22-21.09.00
0.133578,2024.10.22-21.09.00
-1.620386,2024.10.22-21.09.00
-4.323287,2024.10.22-21.09.00
-6.029099,2024.10.22-21.09.00
-8.553786,2024.10.22-21.09.00
-10.709347,2024.10.22-21.09.00
-12.641662,2024.10.22-21.09.00
-14.410074,2024.10.22-21.09.00
-15.323534,2024.10.22-21.09.00
-15.151627,2024.10.22-21.09.00
-15.834874,2024.10.22-21.09.00
-15.950127,2024.10.22-21.09.00
-15.770881,2024.10.22-21.09.00
-15.104565,2024.10.22-21.09.00
-14.978315,2024.10.22-21.09.00
-14.499489,2024.10.22-21.09.00
-13.664278,2024.10.22-21.09.00
-13.370503,2024.10.22-21.09.00
-13.053274,2024.10.22-21.09.00
-13.386550,2024.10.22-21.09.00
-14.304305,2024.10.22-21.09.00
-15.322803,2024.10.22-21.09.00
-15.892955,2024.10.22-21.09.00
-15.859733,2024.10.22-21.09.00
-17.661690,2024.10.22-21.09.00
-19.195938,2024.10.22-21.09.00
-19.776539,2024.10.22-21.09.00
-20.185139,2024.10.22-21.09.00
-20.811583,2024.10.22-21.09.00
-21.527239,2024.10.22-21.09.01
-22.088617,2024.10.22-21.09.01
-22.801958,2024.10.22-21.09.01
-23.481524,2024.10.22-21.09.01
-23.957819,2024.10.22-21.09.01
-24.524878,2024.10.22-21.09.01
-25.303787,2024.10.22-21.09.01
-25.864729,2024.10.22-21.09.01
-26.180862,2024.10.22-21.09.01
-26.116005,2024.10.22-21.09.01
-26.055088,2024.10.22-21.09.01
-26.245131,2024.10.22-21.09.01
-26.318197,2024.10.22-21.09.01
-26.937115,2024.10.22-21.09.01
-26.619598,2024.10.22-21.09.01
-26.682335,2024.10.22-21.09.01
-26.929688,2024.10.22-21.09.01
-27.268412,2024.10.22-21.09.01
-27.882179,2024.10.22-21.09.01
-28.731869,2024.10.22-21.09.01
-29.621058,2024.10.22-21.09.01
-29.250233,2024.10.22-21.09.01
-29.759958,2024.10.22-21.09.01
-30.285688,2024.10.22-21.09.01
-30.054487,2024.10.22-21.09.01
-29.961002,2024.10.22-21.09.01
-29.899223,2024.10.22-21.09.01
-29.634205,2024.10.22-21.09.01
-29.520567,2024.10.22-21.09.01
-29.654350,2024.10.22-21.09.01
-29.658531,2024.10.22-21.09.01
-29.622740,2024.10.22-21.09.01
-29.648983,2024.10.22-21.09.01
-29.666624,2024.10.22-21.09.01
-29.622269,2024.10.22-21.09.01
-29.673903,2024.10.22-21.09.01
-29.664516,2024.10.22-21.09.01
-29.619493,2024.10.22-21.09.01
-29.685171,2024.10.22-21.09.01
-29.753403,2024.10.22-21.09.01
-29.742405,2024.10.22-21.09.01
-29.825474,2024.10.22-21.09.01
-30.016060,2024.10.22-21.09.01
-30.102398,2024.10.22-21.09.01
-29.962248,2024.10.22-21.09.01
-29.968904,2024.10.22-21.09.02
-29.940338,2024.10.22-21.09.02
-29.966766,2024.10.22-21.09.02
-29.961046,2024.10.22-21.09.02
-29.959412,2024.10.22-21.09.02
-29.981848,2024.10.22-21.09.02
-29.991335,2024.10.22-21.09.02
-29.992125,2024.10.22-21.09.02
-29.966579,2024.10.22-21.09.02
-29.982378,2024.10.22-21.09.02
-29.988214,2024.10.22-21.09.02
-30.007605,2024.10.22-21.09.02
-29.996658,2024.10.22-21.09.02
-29.993603,2024.10.22-21.09.02
-29.996290,2024.10.22-21.09.02
-29.987091,2024.10.22-21.09.02
-30.001871,2024.10.22-21.09.02
-30.012962,2024.10.22-21.09.02
-30.009748,2024.10.22-21.09.02
-30.008608,2024.10.22-21.09.02
-30.002493,2024.10.22-21.09.02
-30.001471,2024.10.22-21.09.02
-30.006918,2024.10.22-21.09.02
-30.028389,2024.10.22-21.09.02
-30.023668,2024.10.22-21.09.02
-30.128540,2024.10.22-21.09.02
-30.076956,2024.10.22-21.09.02
-30.088224,2024.10.22-21.09.02
-30.082026,2024.10.22-21.09.02
-30.070114,2024.10.22-21.09.02
-30.072771,2024.10.22-21.09.02
-30.056089,2024.10.22-21.09.02
-30.064714,2024.10.22-21.09.02
-30.069271,2024.10.22-21.09.02
-30.069929,2024.10.22-21.09.02
-30.031931,2024.10.22-21.09.02
-30.021080,2024.10.22-21.09.02
-30.017550,2024.10.22-21.09.02
-30.028250,2024.10.22-21.09.02
-30.040508,2024.10.22-21.09.02
-30.040018,2024.10.22-21.09.02
-30.049376,2024.10.22-21.09.02
-30.048763,2024.10.22-21.09.02
-30.044880,2024.10.22-21.09.02
-30.063797,2024.10.22-21.09.02
-30.057909,2024.10.22-21.09.03
-30.051235,2024.10.22-21.09.03
-30.060432,2024.10.22-21.09.03
-30.062653,2024.10.22-21.09.03
-30.046621,2024.10.22-21.09.03
-30.061153,2024.10.22-21.09.03
-30.056496,2024.10.22-21.09.03
-30.075743,2024.10.22-21.09.03
-30.071310,2024.10.22-21.09.03
-30.069798,2024.10.22-21.09.03
